lemma,pos,count,is_stopword,is_proper_noun
live,VERB,46,0,0
remember,VERB,45,0,0
over,ADV,45,1,0
Church,PROPN,45,0,1
enough,ADV,45,1,0
half,DET,45,0,0
London,PROPN,45,0,1
large,ADJ,44,0,0
lose,VERB,44,0,0
start,VERB,44,0,0
question,NOUN,44,0,0
be,VERB,44,1,0
MR,PROPN,44,0,1
foot,NOUN,43,0,0
should,AUX,43,1,0
fire,NOUN,43,0,0
thought,NOUN,43,0,0
well,ADJ,43,1,0
have,VERB,42,0,0
water,NOUN,42,0,0
walk,VERB,42,0,0
town,NOUN,42,0,0
class,NOUN,42,0,0
together,ADV,42,1,0
till,SCONJ,42,0,0
CHARLIE,PROPN,42,0,1
six,NUM,41,1,0
heart,NOUN,41,0,0
black,ADJ,41,0,0
whole,ADJ,41,1,0
lot,NOUN,41,0,0
cold,ADJ,40,0,0
hardly,ADV,40,0,0
else,ADV,40,1,0
much,ADJ,40,1,0
themselves,PRON,40,1,0
please,INTJ,39,1,0
breakfast,NOUN,39,0,0
suppose,VERB,39,0,0
while,SCONJ,39,1,0
whether,SCONJ,39,1,0
TALLBOYS,PROPN,39,0,1
side,NOUN,38,1,0
window,NOUN,38,0,0
arm,NOUN,38,0,0
understand,VERB,38,0,0
however,ADV,37,1,0
forget,VERB,37,0,0
God,PROPN,37,0,1
spend,VERB,37,0,0
such,DET,37,1,0
yes,INTJ,37,0,0
need,VERB,37,0,0
etc,X,37,0,0
Knype,PROPN,36,0,1
Hill,PROPN,36,0,1
run,VERB,36,0,0
actually,ADV,36,0,0
other,NOUN,36,1,0
street,NOUN,36,0,0
dinner,NOUN,36,0,0
poor,ADJ,36,0,0
ginger,NOUN,36,0,0
work,VERB,35,0,0
Father,PROPN,35,0,1
send,VERB,35,0,0
prayer,NOUN,35,0,0
indeed,ADV,35,1,0
hold,VERB,35,0,0
speak,VERB,35,0,0
everything,PRON,35,1,0
world,NOUN,35,0,0
Pither,PROPN,35,0,1
possible,ADJ,34,0,0
fall,VERB,34,0,0
month,NOUN,34,0,0
about,ADV,34,1,0
himself,PRON,34,1,0
small,ADJ,34,0,0
certain,ADJ,34,0,0
bear,VERB,34,0,0
most,ADJ,34,1,0
down,ADV,34,1,0
Millborough,PROPN,34,0,1
teacher,NOUN,34,0,0
perish,VERB,34,0,0
daughter,NOUN,33,0,0
lie,VERB,33,0,0
table,NOUN,33,0,0
seven,NUM,33,0,0
clothe,NOUN,33,0,0
cup,NOUN,33,0,0
mcelligot,NOUN,33,0,0
soon,ADV,32,0,0
shop,NOUN,32,0,0
also,ADV,32,1,0
teach,VERB,32,0,0
evening,NOUN,32,0,0
Victor,PROPN,32,0,1
St,PROPN,31,0,1
number,NOUN,31,0,0
like,VERB,31,0,0
each,DET,31,1,0
many,ADJ,31,1,0
across,ADP,31,1,0
probably,ADV,31,0,0
of,ADV,31,1,0
expect,VERB,30,0,0
bill,NOUN,30,0,0
yourself,PRON,30,1,0
half,ADJ,30,0,0
boy,NOUN,30,0,0
front,NOUN,30,1,0
one,NOUN,30,1,0
so,SCONJ,30,1,0
story,NOUN,30,0,0
half,NOUN,30,0,0
tomorrow,NOUN,30,0,0
matter,NOUN,30,0,0
trouble,NOUN,30,0,0
at,ADV,30,1,0
most,ADV,30,1,0
carry,VERB,30,0,0
faith,NOUN,30,0,0
steal,VERB,30,0,0
no,ADV,29,1,0
draw,VERB,29,0,0
dark,ADJ,29,0,0
simply,ADV,29,0,0
brown,ADJ,29,0,0
open,ADJ,29,0,0
towards,ADP,29,1,0
eat,VERB,29,0,0
add,VERB,29,0,0
impossible,ADJ,29,0,0
nearly,ADV,29,0,0
food,NOUN,29,0,0
road,NOUN,29,0,0
course,ADV,29,0,0
learn,VERB,29,0,0
term,NOUN,29,0,0
Mary,PROPN,29,0,1
e,NOUN,28,0,0
up,ADV,28,1,0
Ellen,PROPN,28,0,1
hair,NOUN,28,0,0
less,ADJ,28,1,0
wear,VERB,28,0,0
manage,VERB,28,0,0
lead,VERB,28,0,0
nice,ADJ,28,0,0
everyone,PRON,28,1,0
chance,NOUN,28,0,0
rate,NOUN,28,0,0
dozen,NOUN,28,0,0
Square,PROPN,28,0,1
behind,ADP,27,1,0
glue,NOUN,27,0,0
mouth,NOUN,27,0,0
suddenly,ADV,27,0,0
air,NOUN,27,0,0
first,ADV,27,1,0
Sir,PROPN,27,0,1
help,VERB,27,0,0
wall,NOUN,27,0,0
home,ADV,27,0,0
already,ADV,27,1,0
sort,NOUN,27,0,0
history,NOUN,27,0,0
sleep,VERB,27,0,0
bin,NOUN,27,0,0
Lord,PROPN,26,0,1
round,ADJ,26,0,0
point,NOUN,26,0,0
tired,ADJ,26,0,0
bicycle,NOUN,26,0,0
ago,ADV,26,0,0
part,NOUN,26,1,0
among,ADP,26,1,0
during,ADP,26,1,0
before,ADV,26,1,0
penny,NOUN,26,0,0
whatever,DET,26,1,0
become,VERB,26,1,0
o,NOUN,26,0,0
camp,NOUN,26,0,0
only,ADJ,25,1,0
rest,NOUN,25,0,0
age,NOUN,25,0,0
right,ADV,25,0,0
effort,NOUN,25,0,0
shall,AUX,25,0,0
Sunday,PROPN,25,0,1
show,VERB,25,1,0
low,ADJ,25,0,0
joy,NOUN,25,0,0
mile,NOUN,25,0,0
feeling,NOUN,25,0,0
handwriting,NOUN,25,0,0
round,ADV,25,0,0
realize,VERB,25,0,0
later,ADV,25,0,0
piece,NOUN,25,0,0
case,NOUN,25,0,0
lesson,NOUN,25,0,0
smell,NOUN,24,0,0
several,ADJ,24,1,0
memory,NOUN,24,0,0
until,ADP,24,1,0
catch,VERB,24,0,0
difficulty,NOUN,24,0,0
dear,ADJ,24,0,0
buy,VERB,24,0,0
full,ADJ,24,1,0
right,ADJ,24,0,0
shilling,NOUN,24,0,0
least,ADJ,24,1,0
sometimes,ADV,24,1,0
hot,ADJ,24,0,0
subject,NOUN,24,0,0
within,ADP,24,1,0
teaching,NOUN,24,0,0
repeat,VERB,23,0,0
chair,NOUN,23,0,0
Proggett,PROPN,23,0,1
move,VERB,23,1,0
happy,ADJ,23,0,0
hold,NOUN,23,0,0
drop,VERB,23,0,0
finally,ADV,23,0,0
idea,NOUN,23,0,0
