rank,lemma,pos,total_count,doc_frequency,is_stopword,is_proper_noun
16332,tunefully,ADV,2,2,0,0
16333,killing,NOUN,2,2,0,0
16334,square,VERB,2,2,0,0
16335,retinue,NOUN,2,2,0,0
16336,doo,NOUN,2,2,0,0
16337,swill,NOUN,2,2,0,0
16338,negotiate,VERB,2,2,0,0
16339,masterpiece,NOUN,2,2,0,0
16340,wildfire,NOUN,2,2,0,0
16341,cowardly,ADJ,2,2,0,0
16342,lamentation,NOUN,2,2,0,0
16343,split,ADJ,2,2,0,0
16344,parentage,NOUN,2,2,0,0
16345,devotee,NOUN,2,2,0,0
16346,fluttering,NOUN,2,2,0,0
16347,stratagem,NOUN,2,2,0,0
16348,letter,VERB,2,2,0,0
16349,chorus,VERB,2,2,0,0
16350,Bone,PROPN,2,2,0,1
16351,canter,NOUN,2,2,0,0
16352,matchwood,VERB,2,2,0,0
16353,graphic,ADJ,2,2,0,0
16354,memorial,ADJ,2,2,0,0
16355,reminder,NOUN,2,2,0,0
16356,upstanding,ADJ,2,2,0,0
16357,invader,NOUN,2,2,0,0
16358,untrodden,ADJ,2,2,0,0
16359,haughty,NOUN,2,2,0,0
16360,huddling,NOUN,2,2,0,0
16361,criticise,VERB,2,2,0,0
16362,better,NOUN,2,2,0,0
16363,nuzzle,VERB,2,2,0,0
16364,legging,NOUN,2,2,0,0
16365,operative,ADJ,2,2,0,0
16366,dreg,NOUN,2,2,0,0
16367,INTRODUCTION,PROPN,2,1,0,1
16368,aut,PROPN,2,1,0,1
16369,agora,PROPN,2,1,0,1
16370,changer,NOUN,2,1,0,0
16371,Oracle,PROPN,2,1,0,1
16372,Clouds,PROPN,2,1,0,1
16373,Meno,PROPN,2,1,0,1
16374,Evenus,PROPN,2,1,0,1
16375,craftsman,NOUN,2,1,0,0
16376,atheism,NOUN,2,1,0,0
16377,anaxagora,NOUN,2,1,0,0
16378,Potidaea,PROPN,2,1,0,1
16379,Amphipolis,PROPN,2,1,0,1
16380,Delium,PROPN,2,1,0,1
16381,uncorrupted,ADJ,2,1,0,0
16382,unrighteousness,NOUN,2,1,0,0
16383,Euthyph,PROPN,2,1,0,1
16384,Critias,PROPN,2,1,0,1
16385,charmide,NOUN,2,1,0,0
16386,vindication,NOUN,2,1,0,0
16387,heed,NOUN,2,1,0,0
16388,Parian,PROPN,2,1,0,1
16389,Callias,PROPN,2,1,0,1
16390,artisan,NOUN,2,1,0,0
16391,dishonour,NOUN,2,1,0,0
16392,dishonourable,ADJ,2,1,0,0
16393,unrighteous,ADJ,2,1,0,0
16394,rotunda,NOUN,2,1,0,0
16395,Salamis,PROPN,2,1,0,1
16396,Critobulus,PROPN,2,1,0,1
16397,Theodotus,PROPN,2,1,0,1
16398,Apollodorus,PROPN,2,1,0,1
16399,desultory,NOUN,2,2,0,0
16400,seeming,NOUN,2,2,1,0
16401,Pericles,PROPN,2,2,0,1
16402,depict,VERB,2,2,0,0
16403,noticing,NOUN,2,2,0,0
16404,rebuke,NOUN,2,2,0,0
16405,counter,VERB,2,2,0,0
